Device Type Name,Combiner,Serial Number,Downlink Frequency Start,Downlink Frequency End,Port 1 Input Power Slope,Port 1 Input Power Nodal Increment,Port 2 Input Power Slope,Port 2 Input Power Nodal Increment,Port 3 Input Power Slope,Port 3 Input Power Nodal Increment,Port 4 Input Power Slope,Port 4 Input Power Nodal Increment
Primary A3,1,TB2-COMBINER1.P00E4,TB2-COMBINER1.P02C4,TB2-COMBINER1.P02C0,TB2-COMBINER1.P01A4,TB2-COMBINER1.P01A6,TB2-COMBINER1.P01C4,TB2-COMBINER1.P01C6,TB2-COMBINER1.P01E4,TB2-COMBINER1.P01E6,TB2-COMBINER1.P0204,TB2-COMBINER1.P0206
Primary A3,2,TB2-COMBINER2.P04E4,TB2-COMBINER2.P06C4,TB2-COMBINER2.P06C0,TB2-COMBINER2.P05A4,TB2-COMBINER2.P05A6,TB2-COMBINER2.P05C4,TB2-COMBINER2.P05C6,TB2-COMBINER2.P05E4,TB2-COMBINER2.P05E6,TB2-COMBINER2.P0604,TB2-COMBINER2.P0606
Primary A3,3,TB2-COMBINER3.P08E4,TB2-COMBINER3.P0AC4,TB2-COMBINER3.P0AC0,TB2-COMBINER3.P09A4,TB2-COMBINER3.P09A6,TB2-COMBINER3.P09C4,TB2-COMBINER3.P09C6,TB2-COMBINER3.P09E4,TB2-COMBINER3.P09E6,TB2-COMBINER3.P0A04,TB2-COMBINER3.P0A06
Primary A3,4,TB2-COMBINER4.P0CE4,TB2-COMBINER4.P0EC4,TB2-COMBINER4.P0EC0,TB2-COMBINER4.P0DA4,TB2-COMBINER4.P0DA6,TB2-COMBINER4.P0DC4,TB2-COMBINER4.P0DC6,TB2-COMBINER4.P0DE4,TB2-COMBINER4.P0DE6,TB2-COMBINER4.P0E04,TB2-COMBINER4.P0E06
Secondary A3,1,TB2-COMBINER1.P00E4,TB2-COMBINER1.P02C4,TB2-COMBINER1.P02C0,TB2-COMBINER1.P01A4,TB2-COMBINER1.P01A6,TB2-COMBINER1.P01C4,TB2-COMBINER1.P01C6,TB2-COMBINER1.P01E4,TB2-COMBINER1.P01E6,TB2-COMBINER1.P0204,TB2-COMBINER1.P0206
Secondary A3,2,TB2-COMBINER2.P04E4,TB2-COMBINER2.P06C4,TB2-COMBINER2.P06C0,TB2-COMBINER2.P05A4,TB2-COMBINER2.P05A6,TB2-COMBINER2.P05C4,TB2-COMBINER2.P05C6,TB2-COMBINER2.P05E4,TB2-COMBINER2.P05E6,TB2-COMBINER2.P0604,TB2-COMBINER2.P0606
Secondary A3,3,TB2-COMBINER3.P08E4,TB2-COMBINER3.P0AC4,TB2-COMBINER3.P0AC0,TB2-COMBINER3.P09A4,TB2-COMBINER3.P09A6,TB2-COMBINER3.P09C4,TB2-COMBINER3.P09C6,TB2-COMBINER3.P09E4,TB2-COMBINER3.P09E6,TB2-COMBINER3.P0A04,TB2-COMBINER3.P0A06
Secondary A3,4,TB2-COMBINER4.P0CE4,TB2-COMBINER4.P0EC4,TB2-COMBINER4.P0EC0,TB2-COMBINER4.P0DA4,TB2-COMBINER4.P0DA6,TB2-COMBINER4.P0DC4,TB2-COMBINER4.P0DC6,TB2-COMBINER4.P0DE4,TB2-COMBINER4.P0DE6,TB2-COMBINER4.P0E04,TB2-COMBINER4.P0E06
Master A2,1,TB2-COMBINER1.P00E4,TB2-COMBINER1.P02C4,TB2-COMBINER1.P02C0,TB2-COMBINER1.P01A4,TB2-COMBINER1.P01A6,TB2-COMBINER1.P01C4,TB2-COMBINER1.P01C6,TB2-COMBINER1.P01E4,TB2-COMBINER1.P01E6,TB2-COMBINER1.P0204,TB2-COMBINER1.P0206
Master A2,2,TB2-COMBINER2.P04E4,TB2-COMBINER2.P06C4,TB2-COMBINER2.P06C0,TB2-COMBINER2.P05A4,TB2-COMBINER2.P05A6,TB2-COMBINER2.P05C4,TB2-COMBINER2.P05C6,TB2-COMBINER2.P05E4,TB2-COMBINER2.P05E6,TB2-COMBINER2.P0604,TB2-COMBINER2.P0606
Master A2,3,TB2-COMBINER3.P08E4,TB2-COMBINER3.P0AC4,TB2-COMBINER3.P0AC0,TB2-COMBINER3.P09A4,TB2-COMBINER3.P09A6,TB2-COMBINER3.P09C4,TB2-COMBINER3.P09C6,TB2-COMBINER3.P09E4,TB2-COMBINER3.P09E6,TB2-COMBINER3.P0A04,TB2-COMBINER3.P0A06
Master A2,4,TB2-COMBINER4.P0CE4,TB2-COMBINER4.P0EC4,TB2-COMBINER4.P0EC0,TB2-COMBINER4.P0DA4,TB2-COMBINER4.P0DA6,TB2-COMBINER4.P0DC4,TB2-COMBINER4.P0DC6,TB2-COMBINER4.P0DE4,TB2-COMBINER4.P0DE6,TB2-COMBINER4.P0E04,TB2-COMBINER4.P0E06
Primary A2,1,TB2-COMBINER1.P00E4,TB2-COMBINER1.P02C4,TB2-COMBINER1.P02C0,TB2-COMBINER1.P01A4,TB2-COMBINER1.P01A6,TB2-COMBINER1.P01C4,TB2-COMBINER1.P01C6,TB2-COMBINER1.P01E4,TB2-COMBINER1.P01E6,TB2-COMBINER1.P0204,TB2-COMBINER1.P0206
Primary A2,2,TB2-COMBINER2.P04E4,TB2-COMBINER2.P06C4,TB2-COMBINER2.P06C0,TB2-COMBINER2.P05A4,TB2-COMBINER2.P05A6,TB2-COMBINER2.P05C4,TB2-COMBINER2.P05C6,TB2-COMBINER2.P05E4,TB2-COMBINER2.P05E6,TB2-COMBINER2.P0604,TB2-COMBINER2.P0606
Primary A2,3,TB2-COMBINER3.P08E4,TB2-COMBINER3.P0AC4,TB2-COMBINER3.P0AC0,TB2-COMBINER3.P09A4,TB2-COMBINER3.P09A6,TB2-COMBINER3.P09C4,TB2-COMBINER3.P09C6,TB2-COMBINER3.P09E4,TB2-COMBINER3.P09E6,TB2-COMBINER3.P0A04,TB2-COMBINER3.P0A06
Primary A2,4,TB2-COMBINER4.P0CE4,TB2-COMBINER4.P0EC4,TB2-COMBINER4.P0EC0,TB2-COMBINER4.P0DA4,TB2-COMBINER4.P0DA6,TB2-COMBINER4.P0DC4,TB2-COMBINER4.P0DC6,TB2-COMBINER4.P0DE4,TB2-COMBINER4.P0DE6,TB2-COMBINER4.P0E04,TB2-COMBINER4.P0E06
Slave A2,1,TB2-COMBINER1.P00E4,TB2-COMBINER1.P02C4,TB2-COMBINER1.P02C0,TB2-COMBINER1.P01A4,TB2-COMBINER1.P01A6,TB2-COMBINER1.P01C4,TB2-COMBINER1.P01C6,TB2-COMBINER1.P01E4,TB2-COMBINER1.P01E6,TB2-COMBINER1.P0204,TB2-COMBINER1.P0206
Slave A2,2,TB2-COMBINER2.P04E4,TB2-COMBINER2.P06C4,TB2-COMBINER2.P06C0,TB2-COMBINER2.P05A4,TB2-COMBINER2.P05A6,TB2-COMBINER2.P05C4,TB2-COMBINER2.P05C6,TB2-COMBINER2.P05E4,TB2-COMBINER2.P05E6,TB2-COMBINER2.P0604,TB2-COMBINER2.P0606
Slave A2,3,TB2-COMBINER3.P08E4,TB2-COMBINER3.P0AC4,TB2-COMBINER3.P0AC0,TB2-COMBINER3.P09A4,TB2-COMBINER3.P09A6,TB2-COMBINER3.P09C4,TB2-COMBINER3.P09C6,TB2-COMBINER3.P09E4,TB2-COMBINER3.P09E6,TB2-COMBINER3.P0A04,TB2-COMBINER3.P0A06
Slave A2,4,TB2-COMBINER4.P0CE4,TB2-COMBINER4.P0EC4,TB2-COMBINER4.P0EC0,TB2-COMBINER4.P0DA4,TB2-COMBINER4.P0DA6,TB2-COMBINER4.P0DC4,TB2-COMBINER4.P0DC6,TB2-COMBINER4.P0DE4,TB2-COMBINER4.P0DE6,TB2-COMBINER4.P0E04,TB2-COMBINER4.P0E06
Secondary A2,1,TB2-COMBINER1.P00E4,TB2-COMBINER1.P02C4,TB2-COMBINER1.P02C0,TB2-COMBINER1.P01A4,TB2-COMBINER1.P01A6,TB2-COMBINER1.P01C4,TB2-COMBINER1.P01C6,TB2-COMBINER1.P01E4,TB2-COMBINER1.P01E6,TB2-COMBINER1.P0204,TB2-COMBINER1.P0206
Secondary A2,2,TB2-COMBINER2.P04E4,TB2-COMBINER2.P06C4,TB2-COMBINER2.P06C0,TB2-COMBINER2.P05A4,TB2-COMBINER2.P05A6,TB2-COMBINER2.P05C4,TB2-COMBINER2.P05C6,TB2-COMBINER2.P05E4,TB2-COMBINER2.P05E6,TB2-COMBINER2.P0604,TB2-COMBINER2.P0606
Secondary A2,3,TB2-COMBINER3.P08E4,TB2-COMBINER3.P0AC4,TB2-COMBINER3.P0AC0,TB2-COMBINER3.P09A4,TB2-COMBINER3.P09A6,TB2-COMBINER3.P09C4,TB2-COMBINER3.P09C6,TB2-COMBINER3.P09E4,TB2-COMBINER3.P09E6,TB2-COMBINER3.P0A04,TB2-COMBINER3.P0A06
Secondary A2,4,TB2-COMBINER4.P0CE4,TB2-COMBINER4.P0EC4,TB2-COMBINER4.P0EC0,TB2-COMBINER4.P0DA4,TB2-COMBINER4.P0DA6,TB2-COMBINER4.P0DC4,TB2-COMBINER4.P0DC6,TB2-COMBINER4.P0DE4,TB2-COMBINER4.P0DE6,TB2-COMBINER4.P0E04,TB2-COMBINER4.P0E06
SA2,1,TB2-COMBINER1.P00E4,TB2-COMBINER1.P02C4,TB2-COMBINER1.P02C0,TB2-COMBINER1.P01A4,TB2-COMBINER1.P01A6,TB2-COMBINER1.P01C4,TB2-COMBINER1.P01C6,TB2-COMBINER1.P01E4,TB2-COMBINER1.P01E6,TB2-COMBINER1.P0204,TB2-COMBINER1.P0206
SA2,2,TB2-COMBINER2.P04E4,TB2-COMBINER2.P06C4,TB2-COMBINER2.P06C0,TB2-COMBINER2.P05A4,TB2-COMBINER2.P05A6,TB2-COMBINER2.P05C4,TB2-COMBINER2.P05C6,TB2-COMBINER2.P05E4,TB2-COMBINER2.P05E6,TB2-COMBINER2.P0604,TB2-COMBINER2.P0606
SA2,3,TB2-COMBINER3.P08E4,TB2-COMBINER3.P0AC4,TB2-COMBINER3.P0AC0,TB2-COMBINER3.P09A4,TB2-COMBINER3.P09A6,TB2-COMBINER3.P09C4,TB2-COMBINER3.P09C6,TB2-COMBINER3.P09E4,TB2-COMBINER3.P09E6,TB2-COMBINER3.P0A04,TB2-COMBINER3.P0A06
SA2,4,TB2-COMBINER4.P0CE4,TB2-COMBINER4.P0EC4,TB2-COMBINER4.P0EC0,TB2-COMBINER4.P0DA4,TB2-COMBINER4.P0DA6,TB2-COMBINER4.P0DC4,TB2-COMBINER4.P0DC6,TB2-COMBINER4.P0DE4,TB2-COMBINER4.P0DE6,TB2-COMBINER4.P0E04,TB2-COMBINER4.P0E06
